+------------------+---------------+--------+--------------------------------------------------------------------------+
| source_object_id | source_action | status | reason_str                                                               |
+------------------+---------------+--------+--------------------------------------------------------------------------+
| PCDA-62          | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
| PCDA-231         | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
| PCDA-525         | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
| PCDA-404         | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
| PCDA-518         | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
| PCDA-221         | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
| PCDA-455         | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
| PCDA-247         | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
| PCDA-252         | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
| PCDA-240         | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
| PCDA-207         | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
| PCDA-255         | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
| PCDA-232         | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
| PCDA-497         | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
| PCDA-65          | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
| PCDA-71          | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
| PCDA-262         | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
| PCDA-449         | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
| PCDA-396         | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
| PCDA-205         | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
