+------------------+------------+---------------+--------+--------------------------------------------------------------------------+
| source_object_id | xref_id    | source_action | status | reason_str                                                               |
+------------------+------------+---------------+--------+--------------------------------------------------------------------------+
| PCDA-62          | jira-48365 | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
| PCDA-231         | jira-48372 | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
| PCDA-525         | jira-48373 | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
| PCDA-404         | jira-48376 | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
| PCDA-518         | jira-48375 | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
| PCDA-221         | jira-48384 | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
| PCDA-455         | jira-48382 | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
| PCDA-247         | jira-48381 | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
| PCDA-252         | jira-48394 | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
| PCDA-240         | jira-48400 | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
| PCDA-207         | jira-48407 | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
| PCDA-255         | jira-48422 | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
| PCDA-232         | jira-48439 | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
| PCDA-497         | jira-48444 | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
| PCDA-65          | jira-48450 | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
| PCDA-71          | jira-48448 | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
| PCDA-262         | jira-48460 | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
| PCDA-449         | jira-48459 | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
| PCDA-396         | jira-48463 | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
| PCDA-205         | jira-48465 | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
| PCDA-226         | jira-48478 | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
| PCDA-521         | jira-48476 | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
| PCDA-523         | jira-48479 | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
