+-------------------------------------------------------+
| Section                                               |
+-------------------------------------------------------+
| ART/TML --------------------------------------------- |
+-------------------------------------------------------+
+--------------+---------------------+---------------------+
| Proc Version | Timebox Start       | Timebox End         |
+--------------+---------------------+---------------------+
| 1.1a         | 2019-03-28 22:00:00 | 2019-04-08 13:30:00 |
+--------------+---------------------+---------------------+
+--------+-------------+--------------+---------------+
| ident  | xref_id     | pending_time | reaction_time |
+--------+-------------+--------------+---------------+
| 324400 | caagc-48275 |      536.073 |         0.025 |
| 324315 | caagc-47223 |      239.219 |         0.032 |
| 324402 | jira-50834  |      527.636 |         0.032 |
| 324408 | caagc-51924 |     4582.223 |         0.041 |
| 324288 | caagc-43377 |      180.806 |         0.042 |
| 324406 | caagc-48280 |     4581.435 |         0.075 |
| 320601 | caagc-51881 |       20.982 |         0.085 |
| 320604 | caagc-51882 |        6.628 |         0.086 |
| 331960 | jira-60031  |   770776.028 |         0.114 |
| 330603 | jira-59416  |     8419.166 |         0.115 |
| 341147 | jira-60887  |     8809.184 |         0.118 |
| 331058 | jira-59557  |     4817.022 |         0.123 |
| 333576 | jira-61417  |    18707.194 |         0.124 |
| 341139 | jira-60992  |     8739.928 |         0.124 |
| 363506 | jira-40458  |     1923.369 |         0.124 |
| 353379 | jira-60471  |       97.084 |         0.124 |
| 333577 | jira-61419  |    18707.267 |         0.126 |
| 333649 | jira-61490  |    19285.870 |         0.126 |
| 333718 | jira-61557  |    19800.200 |         0.126 |
| 332141 | jira-60198  |   772185.208 |         0.127 |
| 344826 | jira-64044  |     4014.832 |         0.127 |
| 332056 | jira-60122  |   771508.474 |         0.129 |
| 333655 | jira-61497  |    19315.107 |         0.129 |
| 333665 | jira-61507  |    19409.152 |         0.129 |
| 332073 | jira-60135  |   771632.462 |         0.130 |
| 344816 | jira-51582  |     3919.886 |         0.130 |
| 341156 | jira-60825  |     8905.929 |         0.131 |
| 330974 | jira-59477  |     4138.605 |         0.131 |
| 333601 | jira-61441  |    18901.296 |         0.131 |
| 333724 | jira-61563  |    19867.773 |         0.131 |
| 332225 | jira-60275  |   772821.809 |         0.132 |
| 333639 | jira-61482  |    19190.521 |         0.132 |
| 344841 | jira-64045  |     4028.994 |         0.132 |
| 331048 | jira-59545  |     4785.383 |         0.134 |
| 331061 | jira-59562  |     4882.517 |         0.135 |
| 333759 | jira-61599  |    20114.152 |         0.135 |
| 333787 | jira-61626  |    20334.594 |         0.135 |
| 344868 | jira-51656  |     8195.635 |         0.136 |
| 336832 | jira-61416  |      408.031 |         0.136 |
| 361421 | jira-24608  |       35.376 |         0.137 |
| 363516 | jira-39923  |     2020.351 |         0.137 |
| 330955 | jira-59462  |     4015.498 |         0.138 |
| 331120 | jira-59575  |     9099.253 |         0.138 |
| 331186 | jira-59637  |     9610.095 |         0.138 |
| 353598 | jira-60602  |     4718.581 |         0.138 |
| 358901 | caagc-48829 |       10.012 |         0.138 |
| 360409 | jira-64600  |       69.116 |         0.138 |
| 332103 | jira-60164  |   771894.853 |         0.139 |
| 333737 | jira-61583  |    19946.939 |         0.139 |
| 332220 | jira-60281  |   772752.656 |         0.140 |
| 363514 | jira-40477  |     1992.719 |         0.140 |
| 363510 | jira-40406  |     1991.936 |         0.141 |
| 332218 | jira-60276  |   772751.211 |         0.141 |
| 332248 | jira-60296  |   773014.243 |         0.141 |
| 333890 | jira-61728  |    21176.631 |         0.141 |
| 333947 | jira-61785  |    21616.091 |         0.141 |
| 333638 | jira-61481  |    19190.449 |         0.142 |
| 333662 | jira-61505  |    19383.519 |         0.142 |
| 333756 | jira-61597  |    20112.934 |         0.142 |
