+----------+
| COUNT(*) |
+----------+
|      720 |
+----------+
+------------------+------------+---------------+--------+------------------------------------------------------+
| source_object_id | xref_id    | source_action | status | reason_str                                           |
+------------------+------------+---------------+--------+------------------------------------------------------+
| AEX-7864         | jira-27522 | INSERT        |      3 | reason Project AEX173 not found in Agile Central.    |
| CHEX-4724        | jira-27550 | INSERT        |      3 | reason Project CHEX87 not found in Agile Central.    |
| CHEX-4724        | jira-27550 | INSERT        |      3 | reason Project CHEX87 not found in Agile Central.    |
| CHEX-4725        | jira-27552 | INSERT        |      3 | reason Project CHEX87 not found in Agile Central.    |
| CHEX-4725        | jira-27552 | INSERT        |      3 | reason Project CHEX87 not found in Agile Central.    |
| CHEX-4726        | jira-27553 | INSERT        |      3 | reason Project CHEX87 not found in Agile Central.    |
| CHEX-4726        | jira-27553 | INSERT        |      3 | reason Project CHEX87 not found in Agile Central.    |
| AEX-7877         | jira-27560 | INSERT        |      3 | reason Project AEX92 not found in Agile Central.     |
| AEX-7877         | jira-27560 | INSERT        |      3 | reason Project AEX92 not found in Agile Central.     |
| AEX-7909         | jira-27770 | INSERT        |      3 | reason Project AEX92 not found in Agile Central.     |
| AEX-7909         | jira-27770 | INSERT        |      3 | reason Project AEX92 not found in Agile Central.     |
| AEX-7938         | jira-27921 | INSERT        |      3 | reason Project AEX173 not found in Agile Central.    |
| AEX-7938         | jira-27921 | INSERT        |      3 | reason Project AEX173 not found in Agile Central.    |
| CHEX-4765        | jira-28293 | INSERT        |      3 | reason Project CHEX84 not found in Agile Central.    |
| CHEX-4765        | jira-28293 | INSERT        |      3 | reason Project CHEX84 not found in Agile Central.    |
| CHEX-4766        | jira-28296 | INSERT        |      3 | reason Project CHEX84 not found in Agile Central.    |
| CHEX-4766        | jira-28296 | INSERT        |      3 | reason Project CHEX84 not found in Agile Central.    |
| CHEX-4767        | jira-28300 | INSERT        |      3 | reason Project CHEX84 not found in Agile Central.    |
| CHEX-4768        | jira-28303 | INSERT        |      3 | reason Project CHEX84 not found in Agile Central.    |
| CHEX-4768        | jira-28303 | INSERT        |      3 | reason Project CHEX84 not found in Agile Central.    |
| CHEX-4769        | jira-28306 | INSERT        |      3 | reason Project CHEX84 not found in Agile Central.    |
| CHEX-4770        | jira-28307 | INSERT        |      3 | reason Project CHEX84 not found in Agile Central.    |
| CHEX-4770        | jira-28307 | INSERT        |      3 | reason Project CHEX84 not found in Agile Central.    |
| CHEX-4771        | jira-28308 | INSERT        |      3 | reason Project CHEX84 not found in Agile Central.    |
| CHEX-4777        | jira-28443 | INSERT        |      3 | reason Project CHEX71 not found in Agile Central.    |
| AEX-8028         | jira-28865 | INSERT        |      3 | reason Project AEX173 not found in Agile Central.    |
| CHEX-4834        | jira-28900 | INSERT        |      3 | reason Project CHEX91 not found in Agile Central.    |
| CHEX-4980        | jira-29250 | INSERT        |      3 | reason Project CHEX87 not found in Agile Central.    |
| CHEX-4980        | jira-29250 | INSERT        |      3 | reason Project CHEX87 not found in Agile Central.    |
| AEX-8120         | jira-29329 | INSERT        |      3 | reason Project AEX92 not found in Agile Central.     |
| AEX-8120         | jira-29329 | INSERT        |      3 | reason Project AEX92 not found in Agile Central.     |
| AEX-8141         | jira-29368 | INSERT        |      3 | reason Project AEX173 not found in Agile Central.    |
| AEX-8141         | jira-29368 | INSERT        |      3 | reason Project AEX173 not found in Agile Central.    |
| AEX-8143         | jira-29369 | INSERT        |      3 | reason Project AEX173 not found in Agile Central.    |
| AEX-8147         | jira-29370 | INSERT        |      3 | reason Project AEX173 not found in Agile Central.    |
| AEX-8147         | jira-29370 | INSERT        |      3 | reason Project AEX173 not found in Agile Central.    |
| AEX-8148         | jira-29371 | INSERT        |      3 | reason Project AEX173 not found in Agile Central.    |
| AEX-8148         | jira-29371 | INSERT        |      3 | reason Project AEX173 not found in Agile Central.    |
| CHEX-5011        | jira-29484 | INSERT        |      3 | reason Project CHEX98 not found in Agile Central.    |
| AEX-8186         | jira-29551 | INSERT        |      3 | reason Project AEX92 not found in Agile Central.     |
| CHEX-5021        | jira-29558 | INSERT        |      3 | reason Project CHEX153 not found in Agile Central.   |
| CHEX-5022        | jira-29559 | INSERT        |      3 | reason Project CHEX153 not found in Agile Central.   |
| CHEX-5023        | jira-29560 | INSERT        |      3 | reason Project CHEX153 not found in Agile Central.   |
| CHEX-5024        | jira-29561 | INSERT        |      3 | reason Project CHEX153 not found in Agile Central.   |
| CHEX-5024        | jira-29561 | INSERT        |      3 | reason Project CHEX153 not found in Agile Central.   |
| CHEX-5030        | jira-29588 | INSERT        |      3 | reason Project CHEX152 not found in Agile Central.   |
| CHEX-5031        | jira-29590 | INSERT        |      3 | reason Project CHEX152 not found in Agile Central.   |
| CHEX-5031        | jira-29590 | INSERT        |      3 | reason Project CHEX152 not found in Agile Central.   |
| CHEX-5032        | jira-29591 | INSERT        |      3 | reason Project CHEX152 not found in Agile Central.   |
| CHEX-5033        | jira-29642 | INSERT        |      3 | reason Project CHEX154 not found in Agile Central.   |
| CHEX-5033        | jira-29642 | INSERT        |      3 | reason Project CHEX154 not found in Agile Central.   |
| CHEX-5034        | jira-29648 | INSERT        |      3 | reason Project CHEX154 not found in Agile Central.   |
| CHEX-5034        | jira-29648 | INSERT        |      3 | reason Project CHEX154 not found in Agile Central.   |
| CHEX-5035        | jira-29649 | INSERT        |      3 | reason Project CHEX154 not found in Agile Central.   |
| CHEX-5036        | jira-29650 | INSERT        |      3 | reason Project CHEX154 not found in Agile Central.   |
| CHEX-5065        | jira-30990 | INSERT        |      3 | reason Project CHEX93 not found in Agile Central.    |
| CHEX-5066        | jira-31070 | INSERT        |      3 | reason Project CHEX104 not found in Agile Central.   |
| CHEX-5068        | jira-31071 | INSERT        |      3 | reason Project CHEX104 not found in Agile Central.   |
| CHEX-5070        | jira-31117 | INSERT        |      3 | reason Project CHEX104 not found in Agile Central.   |
| CHEX-5071        | jira-31144 | INSERT        |      3 | reason Project CHEX104 not found in Agile Central.   |
| CHEX-5071        | jira-31144 | INSERT        |      3 | reason Project CHEX104 not found in Agile Central.   |
| CHEX-5126        | jira-31734 | INSERT        |      3 | reason Project CHEX98 not found in Agile Central.    |
| CHEX-5144        | jira-31742 | INSERT        |      3 | reason Project CHEX91 not found in Agile Central.    |
| AEX-8304         | jira-31765 | INSERT        |      3 | reason Project AEX173 not found in Agile Central.    |
| AEX-8307         | jira-31768 | INSERT        |      3 | reason Project AEX173 not found in Agile Central.    |
| AEX-8308         | jira-31769 | INSERT        |      3 | reason Project AEX173 not found in Agile Central.    |
| AEX-8310         | jira-31772 | INSERT        |      3 | reason Project AEX173 not found in Agile Central.    |
| AEX-8311         | jira-31773 | INSERT        |      3 | reason Project AEX173 not found in Agile Central.    |
| AEX-8312         | jira-31780 | INSERT        |      3 | reason Project AEX173 not found in Agile Central.    |
| AEX-8344         | jira-31915 | INSERT        |      3 | reason Project AEX173 not found in Agile Central.    |
| AEX-8344         | jira-31915 | INSERT        |      3 | reason Project AEX173 not found in Agile Central.    |
| AEX-8350         | jira-31959 | INSERT        |      3 | reason Project AEX173 not found in Agile Central.    |
| AEX-8350         | jira-31959 | INSERT        |      3 | reason Project AEX173 not found in Agile Central.    |
| AEX-8351         | jira-31961 | INSERT        |      3 | reason Project AEX173 not found in Agile Central.    |
| AEX-8352         | jira-31963 | INSERT        |      3 | reason Project AEX173 not found in Agile Central.    |
| AEX-8352         | jira-31963 | INSERT        |      3 | reason Project AEX173 not found in Agile Central.    |
| AEX-8353         | jira-31965 | INSERT        |      3 | reason Project AEX173 not found in Agile Central.    |
| AEX-8353         | jira-31965 | INSERT        |      3 | reason Project AEX173 not found in Agile Central.    |
| AEX-8354         | jira-31966 | INSERT        |      3 | reason Project AEX173 not found in Agile Central.    |
| AEX-8356         | jira-31992 | INSERT        |      3 | reason Project AEX173 not found in Agile Central.    |
| AEX-8356         | jira-31992 | INSERT        |      3 | reason Project AEX173 not found in Agile Central.    |
| AEX-8366         | jira-32062 | INSERT        |      3 | reason Project AEX173 not found in Agile Central.    |
| AEX-8366         | jira-32062 | INSERT        |      3 | reason Project AEX173 not found in Agile Central.    |
| AEX-8367         | jira-32087 | INSERT        |      3 | reason Project AEX173 not found in Agile Central.    |
| AEX-8369         | jira-32097 | INSERT        |      3 | reason Project AEX173 not found in Agile Central.    |
| AEX-8369         | jira-32097 | INSERT        |      3 | reason Project AEX173 not found in Agile Central.    |
| AEX-8370         | jira-32098 | INSERT        |      3 | reason Project AEX173 not found in Agile Central.    |
| AEX-8372         | jira-32100 | INSERT        |      3 | reason Project AEX173 not found in Agile Central.    |
| AEX-8372         | jira-32100 | INSERT        |      3 | reason Project AEX173 not found in Agile Central.    |
| AEX-8373         | jira-32101 | INSERT        |      3 | reason Project AEX173 not found in Agile Central.    |
| AEX-8374         | jira-32105 | INSERT        |      3 | reason Project AEX173 not found in Agile Central.    |
| AEX-8375         | jira-32106 | INSERT        |      3 | reason Project AEX173 not found in Agile Central.    |
| AEX-8374         | jira-32105 | INSERT        |      3 | reason Project AEX173 not found in Agile Central.    |
| AEX-8376         | jira-32107 | INSERT        |      3 | reason Project AEX173 not found in Agile Central.    |
| AEX-8377         | jira-32108 | INSERT        |      3 | reason Project AEX173 not found in Agile Central.    |
| AEX-8377         | jira-32108 | INSERT        |      3 | reason Project AEX173 not found in Agile Central.    |
| AEX-8378         | jira-32111 | INSERT        |      3 | reason Project AEX173 not found in Agile Central.    |
| AEX-8379         | jira-32113 | INSERT        |      3 | reason Project AEX173 not found in Agile Central.    |
| AEX-8380         | jira-32118 | INSERT        |      3 | reason Project AEX173 not found in Agile Central.    |
| AEX-8381         | jira-32120 | INSERT        |      3 | reason Project AEX173 not found in Agile Central.    |
| DXINDP-1258      | jira-32377 | INSERT        |      3 | reason Project DXINDP57 not found in Agile Central.  |
| CB-16716         | jira-32384 | INSERT        |      3 | reason Project CB176 not found in Agile Central.     |
| CB-16719         | jira-32389 | INSERT        |      3 | reason Project CB176 not found in Agile Central.     |
| CB-16723         | jira-32390 | INSERT        |      3 | reason Project CB176 not found in Agile Central.     |
| CHEX-5323        | jira-32625 | INSERT        |      3 | reason Project CHEX91 not found in Agile Central.    |
| AEX-8441         | jira-32628 | INSERT        |      3 | reason Project AEX173 not found in Agile Central.    |
| AEX-8442         | jira-32629 | INSERT        |      3 | reason Project AEX173 not found in Agile Central.    |
| CB-16783         | jira-32786 | INSERT        |      3 | reason Project CB176 not found in Agile Central.     |
| CB-16784         | jira-32787 | INSERT        |      3 | reason Project CB176 not found in Agile Central.     |
| CB-16785         | jira-32788 | INSERT        |      3 | reason Project CB176 not found in Agile Central.     |
| CB-16786         | jira-32789 | INSERT        |      3 | reason Project CB176 not found in Agile Central.     |
| CB-16787         | jira-32790 | INSERT        |      3 | reason Project CB176 not found in Agile Central.     |
| CB-16788         | jira-32791 | INSERT        |      3 | reason Project CB176 not found in Agile Central.     |
| CB-16789         | jira-32793 | INSERT        |      3 | reason Project CB176 not found in Agile Central.     |
| CB-16790         | jira-32794 | INSERT        |      3 | reason Project CB176 not found in Agile Central.     |
| CB-16791         | jira-32796 | INSERT        |      3 | reason Project CB176 not found in Agile Central.     |
| DXINDP-1264      | jira-33884 | INSERT        |      3 | reason Project DXINDP97 not found in Agile Central.  |
