+------------------+---------------+--------+------------------------------------------------------+
| source_object_id | source_action | status | reason_str                                           |
+------------------+---------------+--------+------------------------------------------------------+
| AEX-7864         | INSERT        |      3 | reason Project AEX173 not found in Agile Central.    |
| CHEX-4724        | INSERT        |      3 | reason Project CHEX87 not found in Agile Central.    |
| CHEX-4724        | INSERT        |      3 | reason Project CHEX87 not found in Agile Central.    |
| CHEX-4725        | INSERT        |      3 | reason Project CHEX87 not found in Agile Central.    |
| CHEX-4725        | INSERT        |      3 | reason Project CHEX87 not found in Agile Central.    |
| CHEX-4726        | INSERT        |      3 | reason Project CHEX87 not found in Agile Central.    |
| CHEX-4726        | INSERT        |      3 | reason Project CHEX87 not found in Agile Central.    |
| AEX-7871         | UPDATE        |      3 | reason Project AEX92 not found in Agile Central.     |
| AEX-7871         | UPDATE        |      3 | reason Project AEX92 not found in Agile Central.     |
| AEX-7872         | UPDATE        |      3 | reason Project AEX92 not found in Agile Central.     |
| AEX-7872         | UPDATE        |      3 | reason Project AEX92 not found in Agile Central.     |
| AEX-7877         | INSERT        |      3 | reason Project AEX92 not found in Agile Central.     |
| AEX-7877         | INSERT        |      3 | reason Project AEX92 not found in Agile Central.     |
| CHEX-4729        | UPDATE        |      3 | reason Project CHEX85 not found in Agile Central.    |
| CHEX-4729        | UPDATE        |      3 | reason Project CHEX85 not found in Agile Central.    |
| CHEX-4732        | UPDATE        |      3 | reason Project CHEX85 not found in Agile Central.    |
| CHEX-4732        | UPDATE        |      3 | reason Project CHEX85 not found in Agile Central.    |
| CHEX-4733        | UPDATE        |      3 | reason Project CHEX85 not found in Agile Central.    |
| CHEX-4733        | UPDATE        |      3 | reason Project CHEX85 not found in Agile Central.    |
| AEX-7909         | INSERT        |      3 | reason Project AEX92 not found in Agile Central.     |
| AEX-7909         | INSERT        |      3 | reason Project AEX92 not found in Agile Central.     |
| AEX-7938         | INSERT        |      3 | reason Project AEX173 not found in Agile Central.    |
| AEX-7938         | INSERT        |      3 | reason Project AEX173 not found in Agile Central.    |
| CHEX-4765        | INSERT        |      3 | reason Project CHEX84 not found in Agile Central.    |
| CHEX-4765        | INSERT        |      3 | reason Project CHEX84 not found in Agile Central.    |
| CHEX-4766        | INSERT        |      3 | reason Project CHEX84 not found in Agile Central.    |
| CHEX-4766        | INSERT        |      3 | reason Project CHEX84 not found in Agile Central.    |
| CHEX-4767        | INSERT        |      3 | reason Project CHEX84 not found in Agile Central.    |
| CHEX-4768        | INSERT        |      3 | reason Project CHEX84 not found in Agile Central.    |
| CHEX-4768        | INSERT        |      3 | reason Project CHEX84 not found in Agile Central.    |
| CHEX-4769        | INSERT        |      3 | reason Project CHEX84 not found in Agile Central.    |
| CHEX-4770        | INSERT        |      3 | reason Project CHEX84 not found in Agile Central.    |
| CHEX-4770        | INSERT        |      3 | reason Project CHEX84 not found in Agile Central.    |
| CHEX-4771        | INSERT        |      3 | reason Project CHEX84 not found in Agile Central.    |
| CHEX-4777        | INSERT        |      3 | reason Project CHEX71 not found in Agile Central.    |
| AEX-8028         | INSERT        |      3 | reason Project AEX173 not found in Agile Central.    |
| CHEX-4834        | INSERT        |      3 | reason Project CHEX91 not found in Agile Central.    |
| AEX-8061         | UPDATE        |      3 | reason Project AEX173 not found in Agile Central.    |
| AEX-8061         | UPDATE        |      3 | reason Project AEX173 not found in Agile Central.    |
| DXINDP-1244      | UPDATE        |      3 | reason Project DXINDP57 not found in Agile Central.  |
| DXINDP-1244      | UPDATE        |      3 | reason Project DXINDP57 not found in Agile Central.  |
| CHEX-4980        | INSERT        |      3 | reason Project CHEX87 not found in Agile Central.    |
| CHEX-4980        | INSERT        |      3 | reason Project CHEX87 not found in Agile Central.    |
| AEX-8115         | UPDATE        |      3 | reason Project AEX92 not found in Agile Central.     |
| AEX-8115         | UPDATE        |      3 | reason Project AEX92 not found in Agile Central.     |
| AEX-8120         | INSERT        |      3 | reason Project AEX92 not found in Agile Central.     |
| AEX-8120         | INSERT        |      3 | reason Project AEX92 not found in Agile Central.     |
| AEX-8141         | INSERT        |      3 | reason Project AEX173 not found in Agile Central.    |
| AEX-8141         | INSERT        |      3 | reason Project AEX173 not found in Agile Central.    |
| AEX-8143         | INSERT        |      3 | reason Project AEX173 not found in Agile Central.    |
| AEX-8147         | INSERT        |      3 | reason Project AEX173 not found in Agile Central.    |
| AEX-8147         | INSERT        |      3 | reason Project AEX173 not found in Agile Central.    |
| AEX-8148         | INSERT        |      3 | reason Project AEX173 not found in Agile Central.    |
| AEX-8148         | INSERT        |      3 | reason Project AEX173 not found in Agile Central.    |
| CHEX-5011        | INSERT        |      3 | reason Project CHEX98 not found in Agile Central.    |
| AEX-8186         | INSERT        |      3 | reason Project AEX92 not found in Agile Central.     |
| CHEX-5021        | INSERT        |      3 | reason Project CHEX153 not found in Agile Central.   |
| CHEX-5022        | INSERT        |      3 | reason Project CHEX153 not found in Agile Central.   |
| CHEX-5023        | INSERT        |      3 | reason Project CHEX153 not found in Agile Central.   |
| CHEX-5024        | INSERT        |      3 | reason Project CHEX153 not found in Agile Central.   |
| CHEX-5024        | INSERT        |      3 | reason Project CHEX153 not found in Agile Central.   |
| CHEX-5028        | UPDATE        |      3 | reason Project CHEX153 not found in Agile Central.   |
| CHEX-5028        | UPDATE        |      3 | reason Project CHEX153 not found in Agile Central.   |
| CHEX-5029        | UPDATE        |      3 | reason Project CHEX153 not found in Agile Central.   |
| CHEX-5029        | UPDATE        |      3 | reason Project CHEX153 not found in Agile Central.   |
| CHEX-5030        | INSERT        |      3 | reason Project CHEX152 not found in Agile Central.   |
| CHEX-5031        | INSERT        |      3 | reason Project CHEX152 not found in Agile Central.   |
| CHEX-5031        | INSERT        |      3 | reason Project CHEX152 not found in Agile Central.   |
| CHEX-5032        | INSERT        |      3 | reason Project CHEX152 not found in Agile Central.   |
| CHEX-5033        | INSERT        |      3 | reason Project CHEX154 not found in Agile Central.   |
| CHEX-5033        | INSERT        |      3 | reason Project CHEX154 not found in Agile Central.   |
| CHEX-5034        | INSERT        |      3 | reason Project CHEX154 not found in Agile Central.   |
| CHEX-5034        | INSERT        |      3 | reason Project CHEX154 not found in Agile Central.   |
| CHEX-5035        | INSERT        |      3 | reason Project CHEX154 not found in Agile Central.   |
| CHEX-5036        | INSERT        |      3 | reason Project CHEX154 not found in Agile Central.   |
| CHEX-5065        | INSERT        |      3 | reason Project CHEX93 not found in Agile Central.    |
| CHEX-5066        | INSERT        |      3 | reason Project CHEX104 not found in Agile Central.   |
| CHEX-5068        | INSERT        |      3 | reason Project CHEX104 not found in Agile Central.   |
| CHEX-5070        | INSERT        |      3 | reason Project CHEX104 not found in Agile Central.   |
| CHEX-5071        | INSERT        |      3 | reason Project CHEX104 not found in Agile Central.   |
| CHEX-5071        | INSERT        |      3 | reason Project CHEX104 not found in Agile Central.   |
| CHEX-5126        | INSERT        |      3 | reason Project CHEX98 not found in Agile Central.    |
| CHEX-5144        | INSERT        |      3 | reason Project CHEX91 not found in Agile Central.    |
| AEX-8302         | UPDATE        |      3 | reason Project AEX173 not found in Agile Central.    |
| AEX-8304         | INSERT        |      3 | reason Project AEX173 not found in Agile Central.    |
| AEX-8307         | INSERT        |      3 | reason Project AEX173 not found in Agile Central.    |
| AEX-8308         | INSERT        |      3 | reason Project AEX173 not found in Agile Central.    |
| AEX-8310         | INSERT        |      3 | reason Project AEX173 not found in Agile Central.    |
| AEX-8311         | INSERT        |      3 | reason Project AEX173 not found in Agile Central.    |
| AEX-8312         | INSERT        |      3 | reason Project AEX173 not found in Agile Central.    |
| AEX-8344         | INSERT        |      3 | reason Project AEX173 not found in Agile Central.    |
| AEX-8344         | INSERT        |      3 | reason Project AEX173 not found in Agile Central.    |
| AEX-8345         | UPDATE        |      3 | reason Project AEX173 not found in Agile Central.    |
| AEX-8345         | UPDATE        |      3 | reason Project AEX173 not found in Agile Central.    |
| AEX-8350         | INSERT        |      3 | reason Project AEX173 not found in Agile Central.    |
| AEX-8350         | INSERT        |      3 | reason Project AEX173 not found in Agile Central.    |
| AEX-8351         | INSERT        |      3 | reason Project AEX173 not found in Agile Central.    |
| AEX-8352         | INSERT        |      3 | reason Project AEX173 not found in Agile Central.    |
| AEX-8352         | INSERT        |      3 | reason Project AEX173 not found in Agile Central.    |
| AEX-8353         | INSERT        |      3 | reason Project AEX173 not found in Agile Central.    |
| AEX-8353         | INSERT        |      3 | reason Project AEX173 not found in Agile Central.    |
| AEX-8354         | INSERT        |      3 | reason Project AEX173 not found in Agile Central.    |
| AEX-8356         | INSERT        |      3 | reason Project AEX173 not found in Agile Central.    |
| AEX-8356         | INSERT        |      3 | reason Project AEX173 not found in Agile Central.    |
| AEX-8366         | INSERT        |      3 | reason Project AEX173 not found in Agile Central.    |
| AEX-8366         | INSERT        |      3 | reason Project AEX173 not found in Agile Central.    |
| AEX-8367         | INSERT        |      3 | reason Project AEX173 not found in Agile Central.    |
